Volatility 3 Framework 2.26.0

PID	Process	Base	Size	Name	Path	LoadTime	File output

532	smss.exe	0x7ff7aaca0000	0x28000	smss.exe	\SystemRoot\System32\smss.exe	2025-09-28 14:36:31.000000 UTC	Disabled
532	smss.exe	0x7ffbac0f0000	0x1f8000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	2025-09-28 14:36:31.000000 UTC	Disabled
640	csrss.exe	0x7ff633030000	0x7000	csrss.exe	C:\Windows\system32\csrss.exe	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffbac0f0000	0x1f8000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffba97b0000	0x18000	CSRSRV.dll	C:\Windows\SYSTEM32\CSRSRV.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffba9790000	0x16000	basesrv.DLL	C:\Windows\system32\basesrv.DLL	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffba9770000	0x15000	winsrv.DLL	C:\Windows\system32\winsrv.DLL	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffba9e50000	0x2f6000	kernelbase.dll	C:\Windows\SYSTEM32\kernelbase.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffbaa8d0000	0xbd000	kernel32.dll	C:\Windows\SYSTEM32\kernel32.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffba9740000	0x23000	winsrvext.dll	C:\Windows\SYSTEM32\winsrvext.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffbabeb0000	0x19e000	USER32.dll	C:\Windows\system32\USER32.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffbabb50000	0x354000	combase.dll	C:\Windows\SYSTEM32\combase.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffba9ac0000	0x4e000	cfgmgr32.dll	C:\Windows\SYSTEM32\cfgmgr32.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffbab790000	0x2c000	GDI32.dll	C:\Windows\system32\GDI32.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffba9870000	0x22000	win32u.dll	C:\Windows\system32\win32u.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffba98a0000	0x100000	ucrtbase.dll	C:\Windows\SYSTEM32\ucrtbase.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffbab590000	0x126000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffba99a0000	0x11a000	gdi32full.dll	C:\Windows\SYSTEM32\gdi32full.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffba97d0000	0x9d000	msvcp_win.dll	C:\Windows\system32\msvcp_win.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffba9730000	0xd000	sxssrv.DLL	C:\Windows\system32\sxssrv.DLL	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffba9500000	0xa2000	sxs.dll	C:\Windows\system32\sxs.dll	2025-09-28 14:36:32.000000 UTC	Disabled
640	csrss.exe	0x7ffba9ce0000	0x82000	bcryptPrimitives.dll	C:\Windows\SYSTEM32\bcryptPrimitives.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ff633030000	0x7000	csrss.exe	C:\Windows\system32\csrss.exe	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffbac0f0000	0x1f8000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba97b0000	0x18000	CSRSRV.dll	C:\Windows\SYSTEM32\CSRSRV.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba9790000	0x16000	basesrv.DLL	C:\Windows\system32\basesrv.DLL	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba9770000	0x15000	winsrv.DLL	C:\Windows\system32\winsrv.DLL	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba9e50000	0x2f6000	kernelbase.dll	C:\Windows\SYSTEM32\kernelbase.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffbaa8d0000	0xbd000	kernel32.dll	C:\Windows\SYSTEM32\kernel32.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba9740000	0x23000	winsrvext.dll	C:\Windows\SYSTEM32\winsrvext.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffbabeb0000	0x19e000	USER32.dll	C:\Windows\system32\USER32.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffbabb50000	0x354000	combase.dll	C:\Windows\SYSTEM32\combase.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba9ac0000	0x4e000	cfgmgr32.dll	C:\Windows\SYSTEM32\cfgmgr32.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffbab790000	0x2c000	GDI32.dll	C:\Windows\system32\GDI32.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba9870000	0x22000	win32u.dll	C:\Windows\system32\win32u.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba98a0000	0x100000	ucrtbase.dll	C:\Windows\SYSTEM32\ucrtbase.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffbab590000	0x126000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba99a0000	0x11a000	gdi32full.dll	C:\Windows\SYSTEM32\gdi32full.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba97d0000	0x9d000	msvcp_win.dll	C:\Windows\system32\msvcp_win.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba9730000	0xd000	sxssrv.DLL	C:\Windows\system32\sxssrv.DLL	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba9500000	0xa2000	sxs.dll	C:\Windows\system32\sxs.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba9ce0000	0x82000	bcryptPrimitives.dll	C:\Windows\SYSTEM32\bcryptPrimitives.dll	2025-09-28 14:36:32.000000 UTC	Disabled
712	csrss.exe	0x7ffba9d70000	0x27000	Bcrypt.dll	C:\Windows\system32\Bcrypt.dll	2025-09-28 14:37:16.000000 UTC	Disabled
720	wininit.exe	0x7ff791c60000	0x6a000	wininit.exe	C:\Windows\system32\wininit.exe	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffbac0f0000	0x1f8000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffbaa8d0000	0xbd000	KERNEL32.DLL	C:\Windows\SYSTEM32\KERNEL32.DLL	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba9e50000	0x2f6000	KERNELBASE.dll	C:\Windows\SYSTEM32\KERNELBASE.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba98a0000	0x100000	ucrtbase.dll	C:\Windows\SYSTEM32\ucrtbase.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffbab590000	0x126000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffbaba10000	0x9c000	sechost.dll	C:\Windows\SYSTEM32\sechost.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba9700000	0x25000	profapi.dll	C:\Windows\system32\profapi.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba96a0000	0xe000	wininitext.dll	C:\Windows\SYSTEM32\wininitext.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffbabab0000	0x9e000	msvcrt.dll	C:\Windows\system32\msvcrt.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba9670000	0x2e000	USERENV.dll	C:\Windows\system32\USERENV.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba9630000	0x32000	SspiCli.dll	C:\Windows\system32\SspiCli.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffbab470000	0xaf000	ADVAPI32.dll	C:\Windows\system32\ADVAPI32.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffbabeb0000	0x19e000	USER32.dll	C:\Windows\system32\USER32.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba9870000	0x22000	win32u.dll	C:\Windows\system32\win32u.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffbab790000	0x2c000	GDI32.dll	C:\Windows\system32\GDI32.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba99a0000	0x11a000	gdi32full.dll	C:\Windows\SYSTEM32\gdi32full.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba97d0000	0x9d000	msvcp_win.dll	C:\Windows\system32\msvcp_win.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba84d0000	0x30000	profext.dll	C:\Windows\SYSTEM32\profext.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffbabb50000	0x354000	combase.dll	C:\Windows\SYSTEM32\combase.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba88f0000	0x33000	ntmarta.dll	C:\Windows\SYSTEM32\ntmarta.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba9d70000	0x27000	Bcrypt.dll	C:\Windows\system32\Bcrypt.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba9ce0000	0x82000	bcryptprimitives.dll	C:\Windows\system32\bcryptprimitives.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba8430000	0x96000	firewallapi.dll	C:\Windows\SYSTEM32\firewallapi.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba8bd0000	0xca000	DNSAPI.dll	C:\Windows\system32\DNSAPI.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba8b90000	0x3b000	IPHLPAPI.DLL	C:\Windows\SYSTEM32\IPHLPAPI.DLL	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffbaabb0000	0x8000	NSI.dll	C:\Windows\SYSTEM32\NSI.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba83b0000	0x36000	fwbase.dll	C:\Windows\system32\fwbase.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffbab520000	0x6b000	WS2_32.dll	C:\Windows\SYSTEM32\WS2_32.dll	2025-09-28 14:36:32.000000 UTC	Disabled
720	wininit.exe	0x7ffba8ea0000	0x6a000	mswsock.dll	C:\Windows\system32\mswsock.dll	2025-09-28 14:36:32.000000 UTC	Disabled
764	winlogon.exe	0x7ff712e50000	0xe3000	winlogon.exe	C:\Windows\system32\winlogon.exe	2025-09-28 14:36:32.000000 UTC	Disabled
764	winlogon.exe	0x7ffbac0f0000	0x1f8000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	2025-09-28 14:36:32.000000 UTC	Disabled
764	winlogon.exe	0x7ffbaa8d0000	0xbd000	KERNEL32.DLL	C:\Windows\System32\KERNEL32.DLL	2025-09-28 14:36:32.000000 UTC	Disabled
