Volatility 3 Framework 2.26.0

Offset	Name

0x8d80000ee200	\$Directory
0x8d80000ee390	\Windows\servicing\Packages\Microsoft-Windows-AppServerClient-OptGroup-WOW64-merged-Package~31bf3856ad364e35~amd64~~10.0.19041.1.mum
0x8d80000ee520	\Windows\servicing\Packages\Microsoft-Windows-Client-Desktop-Required-Package00~31bf3856ad364e35~amd64~en-US~10.0.19041.3636.mum
0x8d80000ee6b0	\Windows\servicing\Packages\Microsoft-Windows-AppServerClient-OptGroup-merged-Package~31bf3856ad364e35~amd64~~10.0.19041.3636.mum
0x8d80000ee840	\Windows\servicing\Packages\Microsoft-Windows-Branding-Enterprise-Package~31bf3856ad364e35~amd64~~10.0.19041.1.mum
0x8d80000ee9d0	\Windows\servicing\Packages\Microsoft-Windows-Client-AssignedAccess-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.3636.mum
0x8d80000eeb60	\Windows\servicing\Packages\Microsoft-Windows-Client-Desktop-Required-Package0112~31bf3856ad364e35~amd64~en-US~10.0.19041.3803.mum
0x8d80000eecf0	\Windows\servicing\Packages\Microsoft-Windows-Client-AssignedAccess-Package~31bf3856ad364e35~amd64~~10.0.19041.3636.mum
0x8d80000eee80	\Windows\servicing\Packages\Microsoft-Windows-Client-Desktop-Required-Package01~31bf3856ad364e35~amd64~~10.0.19041.3803.mum
0x8d80000f61e0	\Windows\servicing\Packages\Microsoft-OneCore-Multimedia-CastingCommon-WOW64-Package~31bf3856ad364e35~amd64~~10.0.19041.3636.mum
0x8d80000f6370	\Windows\servicing\Packages\Microsoft-OneCore-UtilityVm-SetupAgent-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1.mum
0x8d80000f6500	\Windows\servicing\Packages\Microsoft-OneCore-Multimedia-MFPMP-WOW64-Package~31bf3856ad364e35~amd64~~10.0.19041.3636.mum
0x8d80000f6690	\Windows\servicing\Packages\Microsoft-OneCore-Multimedia-CastingReceiver-Media-WOW64-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1.mum
0x8d80000f6820	\Windows\servicing\Packages\Microsoft-OneCore-UtilityVM-Containers-Shared-merged-Package~31bf3856ad364e35~amd64~~10.0.19041.3636.mum
0x8d80000f69b0	\Windows\servicing\Packages\Microsoft-OneCore-UtilityVM-Containers-Shared-Package~31bf3856ad364e35~amd64~~10.0.19041.3636.mum
0x8d80000f6b40	\Windows\servicing\Packages\Microsoft-OneCore-WindowsIoT-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.3636.mum
0x8d80000f6cd0	\Windows\servicing\Packages\Microsoft-OneCore-UtilityVm-SetupAgent-Package~31bf3856ad364e35~amd64~~10.0.19041.1.mum
0x8d80000f6e60	\Windows\servicing\Packages\Microsoft-Onecore-SPP-VirtualDevice-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1.mum
0x8d80000fe1c0	\Windows\servicing\Packages\HyperV-Vpci-VSP-merged-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1.mum
0x8d80000fe350	\Windows\servicing\Packages\HyperV-Vpci-VirtualDevice-Gpup-merged-Package~31bf3856ad364e35~amd64~en-US~10.0.19041.1.mum
0x8d80000fe4e0	\$Directory
0x8d80000fe670	\Windows\servicing\Packages\Microsoft-Client-License-Flexible-Platform-Package~31bf3856ad364e35~amd64~~10.0.19041.3636.mum
