Volatility 3 Framework 2.26.0

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name

4	System	0x9c0c51e5e040	0x4	Process	0x1fffff	System Pid 4
4	System	0x9c0c51ee0080	0x8	Thread	0x1fffff	Tid 28 Pid 4
4	System	0x9c0c51e8ee60	0xc	Mutant	0x1f0001	BcdSyncMutant
4	System	0xd50330e5b3a0	0x10	Directory	0xf000f	-
4	System	0xd50330e260a0	0x14	Directory	0xf000f	GLOBAL??
4	System	0x9c0c51e90960	0x18	Partition	0x1f0003	MemoryPartition0
4	System	0xd50330e7cbb0	0x1c	Directory	0xf000f	KernelObjects
4	System	0x9c0c51e8f720	0x20	Event	0x1f0003	LowPagedPoolCondition
4	System	0x9c0c51e8fe20	0x24	Event	0x1f0003	HighPagedPoolCondition
4	System	0x9c0c51e8faa0	0x28	Event	0x1f0003	LowNonPagedPoolCondition
4	System	0x9c0c51e8ff20	0x2c	Event	0x1f0003	HighNonPagedPoolCondition
4	System	0x9c0c51e8f9a0	0x30	Event	0x1f0003	LowMemoryCondition
4	System	0x9c0c51e8f7a0	0x34	Event	0x1f0003	HighMemoryCondition
4	System	0x9c0c51e8f5a0	0x38	Event	0x1f0003	LowCommitCondition
4	System	0x9c0c51e8f2a0	0x3c	Event	0x1f0003	HighCommitCondition
4	System	0x9c0c51e8f420	0x40	Event	0x1f0003	MaximumCommitCondition
4	System	0x9c0c51e8f4a0	0x44	Event	0x1f0003	MemoryErrors
4	System	0x9c0c51e8f620	0x48	Event	0x1f0003	PhysicalMemoryChange
4	System	0x9c0c51fc9300	0x4c	Thread	0x1fffff	Tid 56 Pid 4
4	System	0x9c0c51ed9080	0x50	Process	0x1fffff	Registry Pid 72
4	System	0xd50330f0f0a0	0x54	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\HIVELIST
4	System	0xd50330e47e40	0x58	Key	0x0	-
4	System	0x9c0c587874b0	0x5c	WaitCompletionPacket	0x1	-
4	System	0xd50330f0f700	0x60	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\LEAPSECONDINFORMATION
4	System	0xd50330f0f4e0	0x64	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NOTIFICATIONS
4	System	0xd50330f0f920	0x68	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
4	System	0xd50330f0e820	0x6c	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001
4	System	0xd50330f0f5f0	0x70	Key	0x2001f	MACHINE\SYSTEM\SETUP
4	System	0xd50330ee8180	0x74	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001
