Volatility 3 Framework 2.26.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0x9c0c576ab2b0	TCPv4	192.168.220.141	61361	4.213.25.242	443	ESTABLISHED	1112	svchost.exe	2025-09-28 15:44:07.000000 UTC
0x9c0c51f2b4e0	TCPv4	192.168.220.141	61389	4.241.22.149	443	ESTABLISHED	6848	smartscreen.ex	2025-09-28 15:55:02.000000 UTC
0x9c0c52e40050	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	560	svchost.exe	2025-09-28 14:36:32.000000 UTC
0x9c0c52e40050	TCPv6	::	135	::	0	LISTENING	560	svchost.exe	2025-09-28 14:36:32.000000 UTC
0x9c0c52e417b0	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	560	svchost.exe	2025-09-28 14:36:32.000000 UTC
0x9c0c57afe650	TCPv4	192.168.220.141	139	0.0.0.0	0	LISTENING	4	System	2025-09-28 15:44:04.000000 UTC
0x9c0c569f2e10	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2025-09-28 14:36:35.000000 UTC
0x9c0c569f2e10	TCPv6	::	445	::	0	LISTENING	4	System	2025-09-28 14:36:35.000000 UTC
0x9c0c569f2b50	TCPv4	0.0.0.0	5040	0.0.0.0	0	LISTENING	1300	svchost.exe	2025-09-28 14:36:42.000000 UTC
0x9c0c52e40310	TCPv4	0.0.0.0	5357	0.0.0.0	0	LISTENING	4	System	2025-09-28 14:36:35.000000 UTC
0x9c0c52e40310	TCPv6	::	5357	::	0	LISTENING	4	System	2025-09-28 14:36:35.000000 UTC
0x9c0c56f9a9f0	TCPv4	0.0.0.0	7680	0.0.0.0	0	LISTENING	5216	svchost.exe	2025-09-28 14:36:51.000000 UTC
0x9c0c56f9a9f0	TCPv6	::	7680	::	0	LISTENING	5216	svchost.exe	2025-09-28 14:36:51.000000 UTC
0x9c0c52e410d0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	840	lsass.exe	2025-09-28 14:36:32.000000 UTC
0x9c0c52e410d0	TCPv6	::	49664	::	0	LISTENING	840	lsass.exe	2025-09-28 14:36:32.000000 UTC
0x9c0c52e405d0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	840	lsass.exe	2025-09-28 14:36:32.000000 UTC
0x9c0c52e40890	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	720	wininit.exe	2025-09-28 14:36:32.000000 UTC
0x9c0c52e40890	TCPv6	::	49665	::	0	LISTENING	720	wininit.exe	2025-09-28 14:36:32.000000 UTC
0x9c0c52e41d30	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	720	wininit.exe	2025-09-28 14:36:32.000000 UTC
0x9c0c52e409f0	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	1124	svchost.exe	2025-09-28 14:36:33.000000 UTC
