Volatility 3 Framework 2.26.0

Offset	Order	PID	Start	State	Type	Name	Display	Binary	Binary (Registry)	Dll

0x2072fa8c3f0	632	6712	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	wscsvc	Security Center	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p	%SystemRoot%\System32\svchost.exe -k LocalServiceNetworkRestricted -p	%SystemRoot%\System32\wscsvc.dll
0x2072fa8c400	631	N/A	SERVICE_SYSTEM_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	ws2ifsl	Windows Socket 2.0 Non-IFS Service Provider Support Environment	\Driver\ws2ifsl	\SystemRoot\system32\drivers\ws2ifsl.sys	-
0x2072fa8bbc0	630	N/A	SERVICE_AUTO_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	WpnUserService	Windows Push Notifications User Service	N/A	%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup	%SystemRoot%\System32\WpnUserService.dll
0x2072fa8f6c0	629	1112	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	WpnService	Windows Push Notifications System Service	C:\Windows\system32\svchost.exe -k netsvcs -p	%systemroot%\system32\svchost.exe -k netsvcs -p	-
0x2072fa8dd60	628	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	WpdUpFltr	WpdUpFltr	\Driver\WpdUpFltr	System32\drivers\WpdUpFltr.sys	-
0x2072fa8be20	627	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	WPDBusEnum	Portable Device Enumerator Service	N/A	%SystemRoot%\system32\svchost.exe -k LocalSystemNetworkRestricted	%SystemRoot%\system32\wpdbusenum.dll
0x2072fa8d450	626	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	WpcMonSvc	Parental Controls	N/A	%SystemRoot%\system32\svchost.exe -k LocalService	%SystemRoot%\System32\WpcDesktopMonSvc.dll
0x2072fa8d280	625	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	workfolderssvc	Work Folders	N/A	%SystemRoot%\System32\svchost.exe -k LocalService -p	%systemroot%\system32\workfolderssvc.dll
0x2072fa8d0b0	624	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	Wof	Windows Overlay File System Filter Driver	\FileSystem\Wof	-	-
0x2072fa8afe0	623	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	WMPNetworkSvc	Windows Media Player Network Sharing Service	N/A	"%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe"	-
0x2072fa8f4f0	622	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	wmiApSrv	WMI Performance Adapter	N/A	%systemroot%\system32\wbem\WmiApSrv.exe	-
0x2072fa8cb40	621	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	WmiAcpi	WmiAcpi	N/A	\SystemRoot\System32\drivers\wmiacpi.sys	-
0x2072fa8b960	620	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	WManSvc	Windows Management Service	N/A	%systemroot%\system32\svchost.exe -k netsvcs -p	%systemroot%\system32\Windows.Management.Service.dll
0x2072fa8c230	619	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	wlpasvc	Local Profile Assistant Service	N/A	%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p	%SystemRoot%\System32\lpasvc.dll
0x2072fa8f320	618	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	wlidsvc	Microsoft Account Sign-in Assistant	N/A	%SystemRoot%\system32\svchost.exe -k netsvcs -p	%SystemRoot%\system32\wlidsvc.dll
0x2072fa8e4a0	617	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	WlanSvc	WLAN AutoConfig	N/A	%SystemRoot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p	%SystemRoot%\System32\wlansvc.dll
0x2072fa8db90	616	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	wisvc	Windows Insider Service	N/A	%systemroot%\system32\svchost.exe -k netsvcs -p	%systemroot%\system32\flightsettings.dll
0x2072fa8c7a0	615	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	WinVerbs	WinVerbs	N/A	\SystemRoot\System32\drivers\winverbs.sys	-
0x2072fa89bb0	614	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	WINUSB	WINUSB	N/A	\SystemRoot\System32\drivers\WinUSB.SYS	-
0x2072fa89a80	613	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	WinRM	Windows Remote Management (WS-Management)	N/A	%SystemRoot%\System32\svchost.exe -k NetworkService -p	%SystemRoot%\system32\WsmSvc.dll
